"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69900252	69900422	1	31	FALSE	TRUE	TRUE
10	69900427	69900454	1	0	FALSE	TRUE	TRUE
10	69900459	69900777	13	44	TRUE	TRUE	TRUE
10	69900782	69900783	0	1	FALSE	FALSE	FALSE
10	69900788	69900862	9	1	FALSE	TRUE	TRUE
10	69900867	69900940	0	82	TRUE	FALSE	FALSE
10	69900945	69901649	8	310	TRUE	FALSE	TRUE
10	69901654	69902664	0	2	TRUE	FALSE	TRUE
10	69902669	69902958	0	153	FALSE	TRUE	TRUE
10	69902963	69903473	103	1	TRUE	TRUE	TRUE
10	69903478	69903478	0	0	FALSE	FALSE	FALSE
10	69903483	69903655	0	6	FALSE	TRUE	TRUE
10	69903660	69903710	7	3	FALSE	FALSE	FALSE
10	69903715	69903876	0	12	TRUE	TRUE	TRUE
10	69903881	69904233	6	2	TRUE	TRUE	TRUE
10	69904238	69904691	4	3	TRUE	TRUE	TRUE
10	69904696	69904925	2	18	TRUE	TRUE	FALSE
10	69904930	69904979	103	0	FALSE	FALSE	FALSE
10	69904984	69905552	16	5	TRUE	FALSE	TRUE
10	69905557	69905893	0	2	TRUE	TRUE	TRUE
10	69905898	69906001	4	1	FALSE	TRUE	TRUE
10	69906006	69906573	0	1	TRUE	TRUE	TRUE
10	69906578	69906632	0	0	FALSE	TRUE	TRUE
10	69906637	69906856	0	0	FALSE	TRUE	TRUE
10	69906861	69907065	0	0	TRUE	TRUE	TRUE
10	69907070	69907312	0	7	TRUE	FALSE	TRUE
10	69907317	69907334	0	2	FALSE	FALSE	FALSE
10	69907339	69907632	758	0	TRUE	TRUE	TRUE
10	69907637	69907653	1	0	FALSE	FALSE	FALSE
10	69907658	69907810	0	3	TRUE	TRUE	TRUE
10	69907815	69908273	0	1	TRUE	FALSE	TRUE
10	69908278	69908282	2	0	FALSE	FALSE	FALSE
10	69908287	69908295	0	1	FALSE	FALSE	FALSE
10	69908300	69908300	1	2	FALSE	FALSE	FALSE
10	69908305	69908560	1	0	FALSE	TRUE	TRUE
10	69908565	69908601	2	1	FALSE	TRUE	TRUE
10	69908606	69908662	1	19	FALSE	TRUE	TRUE
10	69908667	69908844	812	25	TRUE	TRUE	FALSE
10	69908849	69908852	0	3	FALSE	FALSE	FALSE
10	69908857	69908887	1	0	FALSE	TRUE	TRUE
10	69908892	69909059	0	1	TRUE	FALSE	TRUE
10	69909064	69909176	0	2	FALSE	TRUE	TRUE
10	69909181	69909561	2	0	TRUE	TRUE	FALSE
10	69909566	69909609	1	14	FALSE	TRUE	TRUE
10	69909614	69909894	1	0	FALSE	TRUE	TRUE
10	69909899	69910439	0	0	FALSE	TRUE	TRUE
10	69910444	69910719	0	25	TRUE	FALSE	TRUE
10	69910724	69910988	0	1	TRUE	TRUE	TRUE
10	69910993	69911061	2	5	TRUE	FALSE	TRUE
10	69911066	69911200	1	0	FALSE	TRUE	TRUE
10	69911205	69911380	0	5	FALSE	TRUE	TRUE
10	69911385	69911661	26	0	FALSE	TRUE	TRUE
10	69911666	69911749	1	1	FALSE	TRUE	TRUE
10	69911754	69911768	0	35	FALSE	FALSE	FALSE
10	69911773	69911941	0	0	FALSE	TRUE	TRUE
10	69911946	69912059	54	6	TRUE	TRUE	TRUE
10	69912064	69912075	1	4	FALSE	FALSE	FALSE
10	69912080	69912207	28	33	FALSE	TRUE	TRUE
10	69912212	69912241	1	3	FALSE	TRUE	TRUE
10	69912246	69912452	0	90	FALSE	TRUE	FALSE
10	69912457	69912547	1	78	FALSE	TRUE	TRUE
10	69912552	69912593	6	9	FALSE	FALSE	TRUE
10	69912598	69912670	0	0	TRUE	TRUE	FALSE
10	69912675	69912802	1	60	FALSE	TRUE	FALSE
10	69912807	69912851	0	95	FALSE	TRUE	TRUE
10	69912856	69912896	99	79	FALSE	TRUE	FALSE
10	69912901	69912941	50	95	FALSE	FALSE	FALSE
10	69912946	69913066	204	130	TRUE	FALSE	TRUE
10	69913071	69913248	12	45	FALSE	TRUE	TRUE
10	69913253	69913518	100	94	FALSE	TRUE	TRUE
10	69913523	69913533	174	127	FALSE	FALSE	FALSE
10	69913538	69914240	763	528	TRUE	TRUE	FALSE
10	69914245	69914296	128	168	FALSE	TRUE	TRUE
10	69914301	69914595	661	612	TRUE	TRUE	TRUE
10	69914600	69914797	932	660	TRUE	TRUE	TRUE
10	69914802	69915077	699	603	TRUE	FALSE	TRUE
10	69915082	69915347	585	669	TRUE	TRUE	FALSE
10	69915352	69915853	211	359	TRUE	TRUE	TRUE
10	69915858	69916611	0	3	FALSE	TRUE	TRUE
10	69916616	69916714	1	1	FALSE	TRUE	TRUE
10	69916719	69916742	0	2	FALSE	FALSE	FALSE
10	69916747	69916791	0	0	FALSE	TRUE	TRUE
10	69916796	69917405	8	43	TRUE	TRUE	TRUE
10	69917410	69917546	186	2	TRUE	FALSE	FALSE
10	69917551	69917943	33	7	TRUE	TRUE	TRUE
10	69917948	69918555	1	2	FALSE	TRUE	TRUE
10	69918560	69918634	0	0	FALSE	TRUE	TRUE
10	69918639	69919307	80	0	TRUE	TRUE	TRUE
10	69919312	69919352	6	0	FALSE	TRUE	TRUE
10	69919357	69919634	4	0	FALSE	TRUE	TRUE
10	69919639	69919643	2	2	FALSE	FALSE	FALSE
10	69919648	69919984	0	0	TRUE	TRUE	TRUE
10	69919989	69920346	6	2	TRUE	TRUE	TRUE
10	69920351	69920397	0	1	FALSE	TRUE	TRUE
10	69920402	69920407	1	0	FALSE	FALSE	FALSE
10	69920412	69920488	78	52	TRUE	FALSE	FALSE
10	69920493	69921067	9	12	TRUE	FALSE	FALSE
10	69921072	69921112	14	0	FALSE	TRUE	FALSE
10	69921117	69921122	1	1	FALSE	FALSE	FALSE
10	69921127	69921429	352	32	TRUE	TRUE	TRUE
10	69921434	69921495	1	970	TRUE	TRUE	FALSE
10	69921500	69921654	4	6	TRUE	TRUE	FALSE
10	69921659	69921734	39	6	TRUE	TRUE	FALSE
10	69921739	69921992	2	179	TRUE	TRUE	TRUE
10	69921997	69922027	0	0	FALSE	TRUE	TRUE
10	69922032	69922437	41	0	TRUE	TRUE	TRUE
10	69922442	69922647	12	2	TRUE	FALSE	TRUE
10	69922652	69922679	2	30	FALSE	TRUE	TRUE
10	69922684	69922729	5	52	TRUE	FALSE	TRUE
10	69922734	69922840	14	78	TRUE	FALSE	TRUE
10	69922845	69922921	8	66	FALSE	TRUE	TRUE
10	69922926	69923162	0	333	TRUE	TRUE	FALSE
