"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69900252	69900422	5	157	FALSE	TRUE	TRUE
10	69900427	69900454	5	1	FALSE	TRUE	TRUE
10	69900459	69900777	13	44	TRUE	TRUE	TRUE
10	69900782	69900783	0	5	FALSE	FALSE	FALSE
10	69900788	69900862	47	3	FALSE	TRUE	TRUE
10	69900867	69900940	0	82	TRUE	FALSE	FALSE
10	69900945	69901649	8	310	TRUE	FALSE	TRUE
10	69901654	69902664	0	2	TRUE	FALSE	TRUE
10	69902669	69902958	0	1443	FALSE	TRUE	TRUE
10	69902963	69903473	103	1	TRUE	TRUE	TRUE
10	69903478	69903478	2	3	FALSE	FALSE	FALSE
10	69903483	69903655	1	29	FALSE	TRUE	TRUE
10	69903660	69903710	36	15	FALSE	FALSE	FALSE
10	69903715	69903876	0	12	TRUE	TRUE	TRUE
10	69903881	69904233	6	2	TRUE	TRUE	TRUE
10	69904238	69904691	4	3	TRUE	TRUE	TRUE
10	69904696	69904925	2	18	TRUE	TRUE	FALSE
10	69904930	69904979	514	0	FALSE	FALSE	FALSE
10	69904984	69905552	16	5	TRUE	FALSE	TRUE
10	69905557	69905893	0	2	TRUE	TRUE	TRUE
10	69905898	69906001	22	3	FALSE	TRUE	TRUE
10	69906006	69906573	112	1	TRUE	TRUE	TRUE
10	69906578	69906632	10	1	FALSE	TRUE	TRUE
10	69906637	69906856	2	2	FALSE	TRUE	TRUE
10	69906861	69907065	0	0	TRUE	TRUE	TRUE
10	69907070	69907312	0	7	TRUE	FALSE	TRUE
10	69907317	69907334	2	10	FALSE	FALSE	FALSE
10	69907339	69907632	758	0	TRUE	TRUE	TRUE
10	69907637	69907653	7	1	FALSE	FALSE	FALSE
10	69907658	69907810	0	3	TRUE	TRUE	TRUE
10	69907815	69908273	7	1	TRUE	FALSE	TRUE
10	69908278	69908282	11	0	FALSE	FALSE	FALSE
10	69908287	69908295	0	3	FALSE	FALSE	FALSE
10	69908300	69908300	3	9	FALSE	FALSE	FALSE
10	69908305	69908560	3	1	FALSE	TRUE	TRUE
10	69908565	69908601	12	5	FALSE	TRUE	TRUE
10	69908606	69908662	7	94	FALSE	TRUE	TRUE
10	69908667	69908844	1458	25	TRUE	TRUE	FALSE
10	69908849	69908852	0	17	FALSE	FALSE	FALSE
10	69908857	69908887	3	0	FALSE	TRUE	TRUE
10	69908892	69909059	0	1	TRUE	FALSE	TRUE
10	69909064	69909176	0	10	FALSE	TRUE	TRUE
10	69909181	69909561	2	0	TRUE	TRUE	FALSE
10	69909566	69909609	3	70	FALSE	TRUE	TRUE
10	69909614	69909894	3	0	FALSE	TRUE	TRUE
10	69909899	69910439	1	0	FALSE	TRUE	TRUE
10	69910444	69910719	0	25	TRUE	FALSE	TRUE
10	69910724	69910988	0	1	TRUE	TRUE	TRUE
10	69910993	69911061	2	5	TRUE	FALSE	TRUE
10	69911066	69911200	3	0	FALSE	TRUE	TRUE
10	69911205	69911380	2	24	FALSE	TRUE	TRUE
10	69911385	69911661	130	7	FALSE	TRUE	TRUE
10	69911666	69911749	3	5	FALSE	TRUE	TRUE
10	69911754	69911768	0	176	FALSE	FALSE	FALSE
10	69911773	69911941	1	0	FALSE	TRUE	TRUE
10	69911946	69912059	54	6	TRUE	TRUE	TRUE
10	69912064	69912075	6	20	FALSE	FALSE	FALSE
10	69912080	69912207	141	165	FALSE	TRUE	TRUE
10	69912212	69912241	4	15	FALSE	TRUE	TRUE
10	69912246	69912452	0	2	FALSE	TRUE	FALSE
10	69912457	69912547	0	0	FALSE	TRUE	TRUE
10	69912552	69912593	28	44	FALSE	FALSE	TRUE
10	69912598	69912670	0	1	TRUE	TRUE	FALSE
10	69912675	69912802	20	2	FALSE	TRUE	FALSE
10	69912807	69912851	7	8	FALSE	TRUE	TRUE
10	69912856	69912896	3	2	FALSE	TRUE	FALSE
10	69912901	69912941	0	8	FALSE	FALSE	FALSE
10	69912946	69913066	25	130	TRUE	FALSE	TRUE
10	69913071	69913248	29	0	FALSE	TRUE	TRUE
10	69913253	69913518	498	43	FALSE	TRUE	TRUE
10	69913523	69913533	2	1	FALSE	FALSE	FALSE
10	69913538	69914240	0	386	TRUE	TRUE	FALSE
10	69914245	69914296	8	2	FALSE	TRUE	TRUE
10	69914301	69914595	0	6	TRUE	TRUE	TRUE
10	69914600	69914797	3	1	TRUE	TRUE	TRUE
